Offical Election Results
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"BLOOMSDALE","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON J. GRUNDMANN","0","16.07%"
"CHESTNUT RIDGE","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON J. GRUNDMANN","0","24.27%"
"COFFMAN","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON J. GRUNDMANN","0","18.09%"
"COMMUNITY CENTER","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON J. GRUNDMANN","0","17.05%"
"KINSEY","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON J. GRUNDMANN","0","16.10%"
"NEW OFFENBURG","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON J. GRUNDMANN","0","17.51%"
"NORTH","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON J. GRUNDMANN","0","19.22%"
"OZORA","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON J. GRUNDMANN","0","20.33%"
"SALEM","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON J. GRUNDMANN","0","17.85%"
"SOUTH","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON J. GRUNDMANN","0","20.10%"
"ST MARY","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON J. GRUNDMANN","0","21.91%"
"ZELL","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON J. GRUNDMANN","0","16.97%"
"BLOOMSDALE","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON BLANKENSHIP","0","16.07%"
"CHESTNUT RIDGE","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON BLANKENSHIP","0","24.27%"
"COFFMAN","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON BLANKENSHIP","0","18.09%"
"COMMUNITY CENTER","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON BLANKENSHIP","0","17.05%"
"KINSEY","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON BLANKENSHIP","0","16.10%"
"NEW OFFENBURG","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON BLANKENSHIP","0","17.51%"
"NORTH","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON BLANKENSHIP","0","19.22%"
"OZORA","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON BLANKENSHIP","0","20.33%"
"SALEM","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON BLANKENSHIP","0","17.85%"
"SOUTH","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON BLANKENSHIP","0","20.10%"
"ST MARY","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON BLANKENSHIP","0","21.91%"
"ZELL","UNITED STATES PRESIDENT - CONSTITUTION PARTY","DON BLANKENSHIP","0","16.97%"
"BLOOMSDALE","UNITED STATES PRESIDENT - CONSTITUTION PARTY","UNCOMMITTED","0","16.07%"
"CHESTNUT RIDGE","UNITED STATES PRESIDENT - CONSTITUTION PARTY","UNCOMMITTED","0","24.27%"
"COFFMAN","UNITED STATES PRESIDENT - CONSTITUTION PARTY","UNCOMMITTED","0","18.09%"
"COMMUNITY CENTER","UNITED STATES PRESIDENT - CONSTITUTION PARTY","UNCOMMITTED","0","17.05%"
"KINSEY","UNITED STATES PRESIDENT - CONSTITUTION PARTY","UNCOMMITTED","0","16.10%"
"NEW OFFENBURG","UNITED STATES PRESIDENT - CONSTITUTION PARTY","UNCOMMITTED","0","17.51%"
"NORTH","UNITED STATES PRESIDENT - CONSTITUTION PARTY","UNCOMMITTED","0","19.22%"
"OZORA","UNITED STATES PRESIDENT - CONSTITUTION PARTY","UNCOMMITTED","0","20.33%"
"SALEM","UNITED STATES PRESIDENT - CONSTITUTION PARTY","UNCOMMITTED","0","17.85%"
"SOUTH","UNITED STATES PRESIDENT - CONSTITUTION PARTY","UNCOMMITTED","0","20.10%"
"ST MARY","UNITED STATES PRESIDENT - CONSTITUTION PARTY","UNCOMMITTED","0","21.91%"
"ZELL","UNITED STATES PRESIDENT - CONSTITUTION PARTY","UNCOMMITTED","0","16.97%"
"BLOOMSDALE","UNITED STATES PRESIDENT - GREEN PARTY","HOWIE HAWKINS","0","16.07%"
"CHESTNUT RIDGE","UNITED STATES PRESIDENT - GREEN PARTY","HOWIE HAWKINS","0","24.27%"
"COFFMAN","UNITED STATES PRESIDENT - GREEN PARTY","HOWIE HAWKINS","0","18.09%"
"COMMUNITY CENTER","UNITED STATES PRESIDENT - GREEN PARTY","HOWIE HAWKINS","0","17.05%"
"KINSEY","UNITED STATES PRESIDENT - GREEN PARTY","HOWIE HAWKINS","0","16.10%"
"NEW OFFENBURG","UNITED STATES PRESIDENT - GREEN PARTY","HOWIE HAWKINS","0","17.51%"
"NORTH","UNITED STATES PRESIDENT - GREEN PARTY","HOWIE HAWKINS","0","19.22%"
"OZORA","UNITED STATES PRESIDENT - GREEN PARTY","HOWIE HAWKINS","0","20.33%"
"SALEM","UNITED STATES PRESIDENT - GREEN PARTY","HOWIE HAWKINS","0","17.85%"
"SOUTH","UNITED STATES PRESIDENT - GREEN PARTY","HOWIE HAWKINS","0","20.10%"
"ST MARY","UNITED STATES PRESIDENT - GREEN PARTY","HOWIE HAWKINS","0","21.91%"
"ZELL","UNITED STATES PRESIDENT - GREEN PARTY","HOWIE HAWKINS","0","16.97%"
"BLOOMSDALE","UNITED STATES PRESIDENT - GREEN PARTY","DARIO HUNTER","0","16.07%"
"CHESTNUT RIDGE","UNITED STATES PRESIDENT - GREEN PARTY","DARIO HUNTER","0","24.27%"
"COFFMAN","UNITED STATES PRESIDENT - GREEN PARTY","DARIO HUNTER","0","18.09%"
"COMMUNITY CENTER","UNITED STATES PRESIDENT - GREEN PARTY","DARIO HUNTER","0","17.05%"
"KINSEY","UNITED STATES PRESIDENT - GREEN PARTY","DARIO HUNTER","0","16.10%"
"NEW OFFENBURG","UNITED STATES PRESIDENT - GREEN PARTY","DARIO HUNTER","0","17.51%"
"NORTH","UNITED STATES PRESIDENT - GREEN PARTY","DARIO HUNTER","0","19.22%"
"OZORA","UNITED STATES PRESIDENT - GREEN PARTY","DARIO HUNTER","0","20.33%"
"SALEM","UNITED STATES PRESIDENT - GREEN PARTY","DARIO HUNTER","0","17.85%"
"SOUTH","UNITED STATES PRESIDENT - GREEN PARTY","DARIO HUNTER","1","20.10%"
"ST MARY","UNITED STATES PRESIDENT - GREEN PARTY","DARIO HUNTER","0","21.91%"
"ZELL","UNITED STATES PRESIDENT - GREEN PARTY","DARIO HUNTER","0","16.97%"
"BLOOMSDALE","UNITED STATES PRESIDENT - GREEN PARTY","DAVID ROLDE","0","16.07%"
"CHESTNUT RIDGE","UNITED STATES PRESIDENT - GREEN PARTY","DAVID ROLDE","0","24.27%"
"COFFMAN","UNITED STATES PRESIDENT - GREEN PARTY","DAVID ROLDE","0","18.09%"
"COMMUNITY CENTER","UNITED STATES PRESIDENT - GREEN PARTY","DAVID ROLDE","0","17.05%"
"KINSEY","UNITED STATES PRESIDENT - GREEN PARTY","DAVID ROLDE","0","16.10%"
"NEW OFFENBURG","UNITED STATES PRESIDENT - GREEN PARTY","DAVID ROLDE","0","17.51%"
"NORTH","UNITED STATES PRESIDENT - GREEN PARTY","DAVID ROLDE","0","19.22%"
"OZORA","UNITED STATES PRESIDENT - GREEN PARTY","DAVID ROLDE","0","20.33%"
"SALEM","UNITED STATES PRESIDENT - GREEN PARTY","DAVID ROLDE","0","17.85%"
"SOUTH","UNITED STATES PRESIDENT - GREEN PARTY","DAVID ROLDE","0","20.10%"
"ST MARY","UNITED STATES PRESIDENT - GREEN PARTY","DAVID ROLDE","0","21.91%"
"ZELL","UNITED STATES PRESIDENT - GREEN PARTY","DAVID ROLDE","0","16.97%"
"BLOOMSDALE","UNITED STATES PRESIDENT - GREEN PARTY","UNCOMMITTED","0","16.07%"
"CHESTNUT RIDGE","UNITED STATES PRESIDENT - GREEN PARTY","UNCOMMITTED","0","24.27%"
"COFFMAN","UNITED STATES PRESIDENT - GREEN PARTY","UNCOMMITTED","0","18.09%"
"COMMUNITY CENTER","UNITED STATES PRESIDENT - GREEN PARTY","UNCOMMITTED","0","17.05%"
"KINSEY","UNITED STATES PRESIDENT - GREEN PARTY","UNCOMMITTED","0","16.10%"
"NEW OFFENBURG","UNITED STATES PRESIDENT - GREEN PARTY","UNCOMMITTED","0","17.51%"
"NORTH","UNITED STATES PRESIDENT - GREEN PARTY","UNCOMMITTED","0","19.22%"
"OZORA","UNITED STATES PRESIDENT - GREEN PARTY","UNCOMMITTED","0","20.33%"
"SALEM","UNITED STATES PRESIDENT - GREEN PARTY","UNCOMMITTED","0","17.85%"
"SOUTH","UNITED STATES PRESIDENT - GREEN PARTY","UNCOMMITTED","0","20.10%"
"ST MARY","UNITED STATES PRESIDENT - GREEN PARTY","UNCOMMITTED","0","21.91%"
"ZELL","UNITED STATES PRESIDENT - GREEN PARTY","UNCOMMITTED","0","16.97%"
"BLOOMSDALE","UNITED STATES PRESIDENT - LIBERTARIAN PARTY","JACOB HORNBERGER","0","16.07%"
"CHESTNUT RIDGE","UNITED STATES PRESIDENT - LIBERTARIAN PARTY","JACOB HORNBERGER","0","24.27%"
"COFFMAN","UNITED STATES PRESIDENT - LIBERTARIAN PARTY","JACOB HORNBERGER","0","18.09%"
"COMMUNITY CENTER","UNITED STATES PRESIDENT - LIBERTARIAN PARTY","JACOB HORNBERGER","0","17.05%"
"KINSEY","UNITED STATES PRESIDENT - LIBERTARIAN PARTY","JACOB HORNBERGER","2","16.10%"
"NEW OFFENBURG","UNITED STATES PRESIDENT - LIBERTARIAN PARTY","JACOB HORNBERGER","1","17.51%"
"NORTH","UNITED STATES PRESIDENT - LIBERTARIAN PARTY","JACOB HORNBERGER","0","19.22%"
"OZORA","UNITED STATES PRESIDENT - LIBERTARIAN PARTY","JACOB HORNBERGER","1","20.33%"
"SALEM","UNITED STATES PRESIDENT - LIBERTARIAN PARTY","JACOB HORNBERGER","0","17.85%"
