Summary Results Report,,,FINAL OFFICIAL,
2020 State Primary,,,,"BOONE COUNTY, MISSOURI"
"August 4, 2020",,,,
1A,,,,
STATISTICS,,,,
,TOTAL,,,
Registered Voters - Total,"1,902",,,
Ballots Cast - Total,42,,,
Ballots Cast - Republican Party,2,,,
Ballots Cast - Democratic Party,38,,,
Ballots Cast - Libertarian Party,0,,,
Ballots Cast - Green Party,0,,,
Ballots Cast - Constitution Party,0,,,
Ballots Cast - NONPARTISAN,2,,,
Voter Turnout - Total,2.21%,,,
REP For Governor,,,,
Vote For 1,,,,
,,TOTAL,,
Raleigh Ritter,,0,,
Mike Parson,,2,,
James W. (Jim) Neely,,0,,
Saundra McDowell,,0,,
Total Votes Cast,,2,,
REP For Lieutenant Governor,,,,
Vote For 1,,,,
,,TOTAL,,
Arnie C. AC Dienoff,,0,,
Mike Kehoe,,2,,
Aaron T Wisdom,,0,,
Mike Carter,,0,,
Total Votes Cast,,2,,
Summary Results Report,,FINAL OFFICIAL,
2020 State Primary,,,"BOONE COUNTY, MISSOURI"
"August 4, 2020",,,
1A,,,
REP For Secretary of State,,,
Vote For 1,,,
,TOTAL,,
John R. (Jay) Ashcroft,2,,
Total Votes Cast,2,,
REP For State Treasurer,,,
Vote For 1,,,
,TOTAL,,
Scott Fitzpatrick,2,,
Total Votes Cast,2,,
REP For Attorney General,,,
Vote For 1,,,
,TOTAL,,
Eric Schmitt,2,,
Total Votes Cast,2,,
REP For United States Representative District 4,,,
Vote For 1,,,
,TOTAL,,
Neal Gist,0,,
Vicky Hartzler,2,,
Total Votes Cast,2,,
REP For State Senator District 19,,,
Vote For 1,,,
,TOTAL,,
Caleb Rowden,2,,
Total Votes Cast,2,,
Summary Results Report,,FINAL OFFICIAL,
2020 State Primary,,,"BOONE COUNTY, MISSOURI"
"August 4, 2020",,,
1A,,,
REP For Circuit Judge Circuit 13 Division 4,,,
Vote For 1,,,
,TOTAL,,
Josh Devine,2,,
Total Votes Cast,2,,
REP For Associate Commissioner District I,,,
Vote For 1,,,
,TOTAL,,
Fred Parry,1,,
Total Votes Cast,1,,
REP For Associate Commissioner District II,,,
Vote For 1,,,
,TOTAL,,
Brenndan Riddles,0,,
Jim Musgraves,0,,
Sam Boyce,1,,
Tristan Asbury,0,,
Total Votes Cast,1,,
REP For Sheriff,,,
Vote For 1,,,
,TOTAL,,
Charles Blair,2,,
Total Votes Cast,2,,
Summary Results Report,,FINAL OFFICIAL,
2020 State Primary,,,"BOONE COUNTY, MISSOURI"
"August 4, 2020",,,
1A,,,
DEM For Governor,,,
Vote For 1,,,
,TOTAL,,
Nicole Galloway,35,,
Jimmie Matthews,1,,
Antoin Johnson,0,,
Eric Morrison,1,,
Robin John Daniel Van Quaethem,0,,
Total Votes Cast,37,,
DEM For Lieutenant Governor,,,
Vote For 1,,,
,TOTAL,,
Gregory A Upchurch,3,,
Alissia Canady,33,,
Total Votes Cast,36,,
DEM For Secretary of State,,,
Vote For 1,,,
,TOTAL,,
Yinka Faleti,29,,
Total Votes Cast,29,,
DEM For State Treasurer,,,
Vote For 1,,,
,TOTAL,,
Vicki Lorenz Englund,30,,
Total Votes Cast,30,,
Summary Results Report,,FINAL OFFICIAL,
2020 State Primary,,,"BOONE COUNTY, MISSOURI"
"August 4, 2020",,,
1A,,,
DEM For Attorney General,,,
Vote For 1,,,
,TOTAL,,
Rich Finneran,7,,
Elad Gross,23,,
Total Votes Cast,30,,
DEM For United States Representative District 4,,,
Vote For 1,,,
,TOTAL,,
Lindsey Simmons,32,,
Total Votes Cast,32,,
DEM For State Senator District 19,,,
Vote For 1,,,
,TOTAL,,
Judy Baker,32,,
Total Votes Cast,32,,
DEM For State Representative District 45,,,
Vote For 1,,,
,TOTAL,,
Kip Kendrick,33,,
Total Votes Cast,33,,
DEM For Circuit Judge Circuit 13 Division 4,,,
Vote For 1,,,
,TOTAL,,
Andy Hirth,30,,
Total Votes Cast,30,,
Summary Results Report,,FINAL OFFICIAL,
2020 State Primary,,,"BOONE COUNTY, MISSOURI"
"August 4, 2020",,,
1A,,,
DEM For Associate Commissioner District I,,,
Vote For 1,,,
,TOTAL,,
Justin Aldred,17,,
Total Votes Cast,17,,
DEM For Associate Commissioner District II,,,
Vote For 1,,,
,TOTAL,,
Janet M Thompson,14,,
Total Votes Cast,14,,
DEM For Sheriff,,,
Vote For 1,,,
,TOTAL,,
Dwayne Carey,24,,
Total Votes Cast,24,,
DEM For Assessor,,,
Vote For 1,,,
,TOTAL,,
Kenneth (Kenny) M. Mohr,30,,
Total Votes Cast,30,,
DEM For County Treasurer,,,
Vote For 1,,,
,TOTAL,,
Tom Darrough,30,,
Total Votes Cast,30,,
Summary Results Report,,FINAL OFFICIAL,
2020 State Primary,,,"BOONE COUNTY, MISSOURI"
"August 4, 2020",,,
1A,,,
DEM For Public Administrator,,,
Vote For 1,,,
,TOTAL,,
Sonja Boone,31,,
Total Votes Cast,31,,
LIB For Governor,,,
Vote For 1,,,
,TOTAL,,
Rik Combs,0,,
Total Votes Cast,0,,
LIB For Lieutenant Governor,,,
Vote For 1,,,
,TOTAL,,
Bill Slantz,0,,
Total Votes Cast,0,,
LIB For Secretary of State,,,
Vote For 1,,,
,TOTAL,,
Carl Herman Freese,0,,
Total Votes Cast,0,,
LIB For State Treasurer,,,
Vote For 1,,,
,TOTAL,,
Nicholas (Nick) Kasoff,0,,
Total Votes Cast,0,,
Summary Results Report,,FINAL OFFICIAL,
2020 State Primary,,,"BOONE COUNTY, MISSOURI"
"August 4, 2020",,,
1A,,,
LIB For Attorney General,,,
Vote For 1,,,
,TOTAL,,
Kevin C Babcock,0,,
Total Votes Cast,0,,
LIB For United States Representative District 4,,,
Vote For 1,,,
,TOTAL,,
Robert E Smith,0,,
Steven K. Koonse,0,,
Total Votes Cast,0,,
GRN For Governor,,,
Vote For 1,,,
,TOTAL,,
Jerome Howard Bauer,0,,
Total Votes Cast,0,,
GRN For Lieutenant Governor,,,
Vote For 1,,,
,TOTAL,,
Kelley Dragoo,0,,
Total Votes Cast,0,,
GRN For Secretary of State,,,
Vote For 1,,,
,TOTAL,,
Paul Lehmann,0,,
Total Votes Cast,0,,
Summary Results Report,,FINAL OFFICIAL,
2020 State Primary,,,"BOONE COUNTY, MISSOURI"
"August 4, 2020",,,
1A,,,
GRN For State Treasurer,,,
Vote For 1,,,
,TOTAL,,
Joseph Civettini,0,,
Total Votes Cast,0,,
CON For Secretary of State,,,
Vote For 1,,,
,TOTAL,,
Paul Venable,0,,
Total Votes Cast,0,,
Constitutional Amendment No. 2,,,
Vote For 1,,,
,TOTAL,,
YES,40,,
NO,2,,
Total Votes Cast,42,,
Summary Results Report,,,FINAL OFFICIAL,
2020 State Primary,,,,"BOONE COUNTY, MISSOURI"
"August 4, 2020",,,,
1B&1E&1I&1M,,,,
STATISTICS,,,,
,TOTAL,,,
Registered Voters - Total,"5,703",,,
Ballots Cast - Total,101,,,
Ballots Cast - Republican Party,10,,,
Ballots Cast - Democratic Party,88,,,
Ballots Cast - Libertarian Party,1,,,
Ballots Cast - Green Party,0,,,
Ballots Cast - Constitution Party,0,,,
Ballots Cast - NONPARTISAN,2,,,
Voter Turnout - Total,1.77%,,,
REP For Governor,,,,
Vote For 1,,,,
,,TOTAL,,
Raleigh Ritter,,2,,
Mike Parson,,8,,
James W. (Jim) Neely,,0,,
Saundra McDowell,,0,,
Total Votes Cast,,10,,
REP For Lieutenant Governor,,,,
Vote For 1,,,,
,,TOTAL,,
Arnie C. AC Dienoff,,0,,
Mike Kehoe,,8,,
Aaron T Wisdom,,0,,
Mike Carter,,2,,
Total Votes Cast,,10,,
Summary Results Report,,FINAL OFFICIAL,
2020 State Primary,,,"BOONE COUNTY, MISSOURI"
"August 4, 2020",,,
1B&1E&1I&1M,,,
REP For Secretary of State,,,
Vote For 1,,,
,TOTAL,,
John R. (Jay) Ashcroft,9,,
Total Votes Cast,9,,
REP For State Treasurer,,,
Vote For 1,,,
,TOTAL,,
Scott Fitzpatrick,8,,
Total Votes Cast,8,,
REP For Attorney General,,,
Vote For 1,,,
,TOTAL,,
