Offical Election Results
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"BLOOMSADALE","GOVERNOR","RALEIGH RITTER","6","27.22%"
"CHESTNUT RIDGE","GOVERNOR","RALEIGH RITTER","5","33.07%"
"COFFMAN","GOVERNOR","RALEIGH RITTER","2","26.98%"
"COMMUNITY CENTER","GOVERNOR","RALEIGH RITTER","7","31.61%"
"KINSEY","GOVERNOR","RALEIGH RITTER","16","25.33%"
"NEW OFFENBURG","GOVERNOR","RALEIGH RITTER","17","28.78%"
"NORTH","GOVERNOR","RALEIGH RITTER","11","27.45%"
"OZORA","GOVERNOR","RALEIGH RITTER","11","34.44%"
"SALEM","GOVERNOR","RALEIGH RITTER","6","28.48%"
"SOUTH","GOVERNOR","RALEIGH RITTER","16","29.18%"
"ST MARY","GOVERNOR","RALEIGH RITTER","7","26.03%"
"ZELL","GOVERNOR","RALEIGH RITTER","12","29.69%"
"BLOOMSADALE","GOVERNOR","MIKE PARSON","98","27.22%"
"CHESTNUT RIDGE","GOVERNOR","MIKE PARSON","107","33.07%"
"COFFMAN","GOVERNOR","MIKE PARSON","82","26.98%"
"COMMUNITY CENTER","GOVERNOR","MIKE PARSON","109","31.61%"
"KINSEY","GOVERNOR","MIKE PARSON","188","25.33%"
"NEW OFFENBURG","GOVERNOR","MIKE PARSON","245","28.78%"
"NORTH","GOVERNOR","MIKE PARSON","113","27.45%"
"OZORA","GOVERNOR","MIKE PARSON","119","34.44%"
"SALEM","GOVERNOR","MIKE PARSON","125","28.48%"
"SOUTH","GOVERNOR","MIKE PARSON","214","29.18%"
"ST MARY","GOVERNOR","MIKE PARSON","44","26.03%"
"ZELL","GOVERNOR","MIKE PARSON","176","29.69%"
"BLOOMSADALE","GOVERNOR","JAMES W. (JIM) NEELY","9","27.22%"
"CHESTNUT RIDGE","GOVERNOR","JAMES W. (JIM) NEELY","12","33.07%"
"COFFMAN","GOVERNOR","JAMES W. (JIM) NEELY","12","26.98%"
"COMMUNITY CENTER","GOVERNOR","JAMES W. (JIM) NEELY","16","31.61%"
"KINSEY","GOVERNOR","JAMES W. (JIM) NEELY","36","25.33%"
"NEW OFFENBURG","GOVERNOR","JAMES W. (JIM) NEELY","22","28.78%"
"NORTH","GOVERNOR","JAMES W. (JIM) NEELY","16","27.45%"
"OZORA","GOVERNOR","JAMES W. (JIM) NEELY","13","34.44%"
"SALEM","GOVERNOR","JAMES W. (JIM) NEELY","14","28.48%"
"SOUTH","GOVERNOR","JAMES W. (JIM) NEELY","20","29.18%"
"ST MARY","GOVERNOR","JAMES W. (JIM) NEELY","3","26.03%"
"ZELL","GOVERNOR","JAMES W. (JIM) NEELY","26","29.69%"
"BLOOMSADALE","GOVERNOR","SAUNDRA McDOWELL","17","27.22%"
"CHESTNUT RIDGE","GOVERNOR","SAUNDRA McDOWELL","32","33.07%"
"COFFMAN","GOVERNOR","SAUNDRA McDOWELL","10","26.98%"
"COMMUNITY CENTER","GOVERNOR","SAUNDRA McDOWELL","11","31.61%"
"KINSEY","GOVERNOR","SAUNDRA McDOWELL","37","25.33%"
"NEW OFFENBURG","GOVERNOR","SAUNDRA McDOWELL","42","28.78%"
"NORTH","GOVERNOR","SAUNDRA McDOWELL","26","27.45%"
"OZORA","GOVERNOR","SAUNDRA McDOWELL","13","34.44%"
"SALEM","GOVERNOR","SAUNDRA McDOWELL","31","28.48%"
"SOUTH","GOVERNOR","SAUNDRA McDOWELL","41","29.18%"
"ST MARY","GOVERNOR","SAUNDRA McDOWELL","7","26.03%"
"ZELL","GOVERNOR","SAUNDRA McDOWELL","33","29.69%"
"BLOOMSADALE","LIEUTENANT GOVERNOR","ARNIE C. AC DIENOFF","6","27.22%"
"CHESTNUT RIDGE","LIEUTENANT GOVERNOR","ARNIE C. AC DIENOFF","7","33.07%"
"COFFMAN","LIEUTENANT GOVERNOR","ARNIE C. AC DIENOFF","6","26.98%"
"COMMUNITY CENTER","LIEUTENANT GOVERNOR","ARNIE C. AC DIENOFF","9","31.61%"
"KINSEY","LIEUTENANT GOVERNOR","ARNIE C. AC DIENOFF","15","25.33%"
"NEW OFFENBURG","LIEUTENANT GOVERNOR","ARNIE C. AC DIENOFF","15","28.78%"
"NORTH","LIEUTENANT GOVERNOR","ARNIE C. AC DIENOFF","10","27.45%"
"OZORA","LIEUTENANT GOVERNOR","ARNIE C. AC DIENOFF","8","34.44%"
"SALEM","LIEUTENANT GOVERNOR","ARNIE C. AC DIENOFF","11","28.48%"
"SOUTH","LIEUTENANT GOVERNOR","ARNIE C. AC DIENOFF","11","29.18%"
"ST MARY","LIEUTENANT GOVERNOR","ARNIE C. AC DIENOFF","5","26.03%"
"ZELL","LIEUTENANT GOVERNOR","ARNIE C. AC DIENOFF","13","29.69%"
"BLOOMSADALE","LIEUTENANT GOVERNOR","MIKE KEHOE","72","27.22%"
"CHESTNUT RIDGE","LIEUTENANT GOVERNOR","MIKE KEHOE","79","33.07%"
"COFFMAN","LIEUTENANT GOVERNOR","MIKE KEHOE","71","26.98%"
"COMMUNITY CENTER","LIEUTENANT GOVERNOR","MIKE KEHOE","65","31.61%"
"KINSEY","LIEUTENANT GOVERNOR","MIKE KEHOE","158","25.33%"
"NEW OFFENBURG","LIEUTENANT GOVERNOR","MIKE KEHOE","177","28.78%"
"NORTH","LIEUTENANT GOVERNOR","MIKE KEHOE","89","27.45%"
"OZORA","LIEUTENANT GOVERNOR","MIKE KEHOE","85","34.44%"
"SALEM","LIEUTENANT GOVERNOR","MIKE KEHOE","86","28.48%"
"SOUTH","LIEUTENANT GOVERNOR","MIKE KEHOE","148","29.18%"
"ST MARY","LIEUTENANT GOVERNOR","MIKE KEHOE","29","26.03%"
"ZELL","LIEUTENANT GOVERNOR","MIKE KEHOE","130","29.69%"
"BLOOMSADALE","LIEUTENANT GOVERNOR","AARON T WISDOM","6","27.22%"
"CHESTNUT RIDGE","LIEUTENANT GOVERNOR","AARON T WISDOM","15","33.07%"
"COFFMAN","LIEUTENANT GOVERNOR","AARON T WISDOM","3","26.98%"
"COMMUNITY CENTER","LIEUTENANT GOVERNOR","AARON T WISDOM","12","31.61%"
"KINSEY","LIEUTENANT GOVERNOR","AARON T WISDOM","28","25.33%"
"NEW OFFENBURG","LIEUTENANT GOVERNOR","AARON T WISDOM","34","28.78%"
"NORTH","LIEUTENANT GOVERNOR","AARON T WISDOM","17","27.45%"
"OZORA","LIEUTENANT GOVERNOR","AARON T WISDOM","12","34.44%"
"SALEM","LIEUTENANT GOVERNOR","AARON T WISDOM","16","28.48%"
