Official Final Election Results
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"1 KAMPVILLE","U.S. SENATOR","TONY MONETTI","38","34.56%"
"4 ORCHARD FARM","U.S. SENATOR","TONY MONETTI","14","46.50%"
"5 RIVERS","U.S. SENATOR","TONY MONETTI","12","46.34%"
"14 LINCOLN","U.S. SENATOR","TONY MONETTI","63","34.03%"
"15 WASHINGTON","U.S. SENATOR","TONY MONETTI","34","27.21%"
"16 MONTCLAIR","U.S. SENATOR","TONY MONETTI","32","33.42%"
"21 TRUMAN","U.S. SENATOR","TONY MONETTI","28","37.31%"
"22 CHESHIRE","U.S. SENATOR","TONY MONETTI","19","31.54%"
"24 WILSHIRE","U.S. SENATOR","TONY MONETTI","59","35.01%"
"25 SHIREWOOD","U.S. SENATOR","TONY MONETTI","67","42.76%"
"28 TREETOP","U.S. SENATOR","TONY MONETTI","69","38.60%"
"31 SIBLEY","U.S. SENATOR","TONY MONETTI","14","37.39%"
"33 CANARY","U.S. SENATOR","TONY MONETTI","30","45.18%"
"34 McNAIR","U.S. SENATOR","TONY MONETTI","41","44.72%"
"36 SUN LAKE","U.S. SENATOR","TONY MONETTI","32","36.08%"
"41 GOVERNMENT","U.S. SENATOR","TONY MONETTI","61","37.90%"
"43 MARINA","U.S. SENATOR","TONY MONETTI","27","45.12%"
"45 MAMELLE","U.S. SENATOR","TONY MONETTI","34","48.33%"
"47 COVILLI","U.S. SENATOR","TONY MONETTI","23","29.28%"
"51 ST. CLETUS","U.S. SENATOR","TONY MONETTI","19","42.98%"
"54 COVERDELL","U.S. SENATOR","TONY MONETTI","23","39.86%"
"56 EDGEWOOD","U.S. SENATOR","TONY MONETTI","36","49.01%"
"57 HANOVER","U.S. SENATOR","TONY MONETTI","45","47.24%"
"62 ADAMS","U.S. SENATOR","TONY MONETTI","39","37.91%"
"63 ST. ANDREWS","U.S. SENATOR","TONY MONETTI","26","34.01%"
"71 FAIRWAYS","U.S. SENATOR","TONY MONETTI","35","34.03%"
"80 HERITAGE","U.S. SENATOR","TONY MONETTI","28","33.69%"
"83 WOODCLIFF","U.S. SENATOR","TONY MONETTI","22","45.24%"
"84 HARVESTER","U.S. SENATOR","TONY MONETTI","54","38.94%"
"85 SYCAMORE","U.S. SENATOR","TONY MONETTI","56","39.05%"
"86 ARLINGTON","U.S. SENATOR","TONY MONETTI","59","37.78%"
"87 RIVER BEND","U.S. SENATOR","TONY MONETTI","30","39.97%"
"91 KATY TRAIL","U.S. SENATOR","TONY MONETTI","63","42.89%"
"100 McCLAY","U.S. SENATOR","TONY MONETTI","48","32.32%"
"101 GRAYBRIDGE","U.S. SENATOR","TONY MONETTI","29","40.91%"
"102 TANGLEWOOD","U.S. SENATOR","TONY MONETTI","48","41.79%"
"103 CAVE SPRINGS","U.S. SENATOR","TONY MONETTI","14","40.33%"
"104 HI POINT","U.S. SENATOR","TONY MONETTI","33","45.28%"
"106 SPENCER","U.S. SENATOR","TONY MONETTI","33","35.99%"
